Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2591,OCCCC(F)(F)C(F)(F)C(F)(F)F,OCCCC(F)(F)C(F)(F)C(F)(F)F,[127781979 110164953 107816900 ...  16631887 281920279  10360726],PFAA precursors,PolyFACs,0,0,,12
2592,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)C(C)(C)C,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)C(C)(C)C,[ 52793636  34348060  17313015 ... 125712204 363505463  11852866],Other PFASs,Aromatic PFASs,,10,,12
2593,N=C(NN)C(F)(F)C(F)(F)C(F)(F)F,NNC(=N)C(F)(F)C(F)(F)C(F)(F)F,[179526426  68287699 107816900 ...  44328398 281920279  54969806],Other PFASs,others,,10,,12
2594,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,[187774998  96266790  33612732 ... 139832924  21348103 124993638],Other PFASs,Polyfluoroalkanes,0.01,1,,12
2595,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,FC(F)(C=C)C(F)(F)C(F)(F)C(F)(F)C=C,[104828107 989775528 107816900 ... 203154325  14046279 151237944],PFAA precursors,HFOs,,10,,12
2596,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccccc2)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,[250618452 104111782  97181807 ... 154732742  43796935  93860188],Other PFASs,Aromatic PFASs,,10,,12
2597,C=CC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023  81500836],PFAA precursors,PASF-based substances,,10,,12
2598,FC(F)(F)C(F)(F)C(F)(F)c1cc(Br)ccn1,FC(F)(F)C(F)(F)C(F)(F)C1=CC(Br)=CC=N1,[250618452  94260738  84382633 ...  17799215 111883495  75798010],Other PFASs,Aromatic PFASs,,10,,12
2599,O=C(O)C1CCC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,OC(=O)C1CCC(CC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  58869667  97181807 ... 291378977 281920279 130071328],"Polyfluoroalkyl acids, cyclic","PolyFCAs, cyclic",,10,,12
2600,CO[Si](CCCOC(F)(C(F)(F)F)C(F)(F)F)(OC)OC,CO[Si](CCCOC(F)(C(F)(F)F)C(F)(F)F)(OC)OC,[   853465 384086492 232751249 ... 353831813 333262167 181442098],Other PFASs,Si PFASs,,10,,12
2601,CCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2602,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  20521944 124409255 151237944],PFAA precursors,PFAK derivatives,,10,,12
2603,N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N,[175312219 104111782  97181807 ... 292858329  92635079  37027116],Other PFASs,others,,10,,12
2604,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2605,C=COCCCCOC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCCCOC=C,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(C(=O)OCCCCOC=C)C(=O)OCCCCOC=C,[ 19469312 104111782  31694403 ...  16631887  43796935 108474474],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2606,C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906],PFAA precursors,PASF-based substances,,10,,12
2607,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCBr,[250618452 104111782  97181807 ...  16631887 223519367 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2608,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[141841586  90136071  97181807 ... 171882282  43796935 151237944],Other PFASs,Si PFASs,,10,,12
2609,CN1CCN(C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1,CN1CCN(CC1)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 194511214 112131879 130407048],"Other PFASs, cyclic","Amide derivatives, cyclic",,10,,12
2610,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,[K+].[O-]C(=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C(=O)NC1=CC=CC(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,[ 29171094 104111782  17313015 ...  25560912  59872263   8690988],Other PFASs,Aromatic PFASs,,10,,12
2611,Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1SC(C)(C)C,CC1=C(SC(C)(C)C)C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F,[ 52793636 191941852  63360499 ...  63751395 401747255 195217154],Other PFASs,Aromatic PFASs,,10,,12
2612,O=C(O)CCSCCC(F)(F)C(F)(F)F,"OC(=O)CCSCCC(F)(F)C(F)(F)F |lp:0:2,2:2,5:2,9:3,10:3,12:3,13:3,14:3,Sg:n:10,9,8:3-15:ht|",[250618452  40824953 107816900 ...  58865643 281920279 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2613,O=S1(=O)C(CCC(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)C1CCC(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(CCC1S(=O)(=O)C(CCC(F)(C(F)(F)F)C(F)(F)F)S1(=O)=O)C(F)(F)F,[  4606537 230232312  17313015 ... 418832501 422801479 100125690],"Other PFASs, cyclic","others, cyclic",,10,,12
2614,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ... 274242922  99703927 151237944],PFAAs,PFCA-ester derivatives,,10,,8
2615,CN(CCOP(=O)(O)O)S(=O)(=O)c1ccc(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)cc1,CN(CCOP(O)(O)=O)S(=O)(=O)C1=CC=C(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)C=C1,[ 43491808  21124242  17313015 ...  61518830  82641671 151237944],Other PFASs,Aromatic PFASs,,10,,12
2616,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si]1(C2CCCC2)O[Si]2(C3CCCC3)O[Si](O)(C3CCCC3)O[Si]3(C4CCCC4)O[Si](O)(C4CCCC4)O[Si](C4CCCC4)(O1)O[Si](C1CCCC1)(O3)O2,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si]1(O[Si]2(O[Si](O)(O[Si]3(O[Si](O)(O[Si](O1)(O[Si](O3)(O2)C1CCCC1)C1CCCC1)C1CCCC1)C1CCCC1)C1CCCC1)C1CCCC1)C1CCCC1,[ 68152887 104111782  97181807 ... 171882282  43796935 151237944],"Other PFASs, cyclic","Si PFASs, cyclic",,10,,12
2617,O=P(O)(O)OCC(F)(F)C(F)(F)C(F)(F)F,OP([O-])(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[ 35941647  71278405  95504826 ... 295477980 281920279  46460802],Other PFASs,others,,10,,12
2618,O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)S(F)(=O)=O,[112103684  58869667  17313015 ... 285534043  69000183  24521902],"PFAA precursors, cyclic","PASFs, cyclic",,10,,12
2619,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,HFCs,,10,,12
2620,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 61332433 104111782  97181807 ... 242954790 101296679  36136210],Other PFASs,Perfluoroalkylethers,,10,,12
2621,OC(COc1ccccc1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC(COC1=CC=CC=C1)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 215423514 107816900 ...  88808901  43796935 151237944],Other PFASs,Aromatic PFASs,,10,,12
2622,COC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,COC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,[156871382 101247092  20760171 ... 191610379  86093479 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2623,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2624,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 104111782  97181807 ... 171882282  43796935  24985098],Other PFASs,Polyfluoroalkanes,,10,,12
2625,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,[192864003  14149973 107816900 ... 120033026 101296679  19235886],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",,10,,12
2626,CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2627,C=C(C)C(=O)OCC(C)OC(=O)Nc1cc(NC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C,CC(COC(=O)C(C)=C)OC(=O)NC1=C(C)C=CC(NC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,[  1426846  33988699  17313015 ... 136323818 111393351  22160906],Other PFASs,Aromatic PFASs,,10,,12
2628,COc1ccc(C(O)(c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(OC)cc2)cc1,COC1=CC=C(C=C1)C(O)(C1=CC=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1)C1=CC=C(OC)C=C1,[126823058  99793772  97181807 ... 171882282  43796935 151237944],Other PFASs,Aromatic PFASs,,10,,12
2629,CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,[117127740  20552307  14316170 ... 171882282  43796935 151237944],Other PFASs,Si PFASs,0.02,1,,12
2630,O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,,10,,12
2631,CCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2632,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 541103106 107816900 ... 242954790 101296679 151237944],Other PFASs,Perfluoroalkylethers,,10,,12
2633,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529 133380679 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2634,CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"CCN(CCOC(C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:2:1,5:2,9:2,11:2,12:2,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,26:3,27:3,29:3,30:3,32:3,33:3,34:3,Sg:n:7,8,6,5::ht|",[ 34574211  33988699  17313015 ... 136323818  33758967 151237944],PFAA precursors,PASF-based substances,,10,,12
2635,O=C/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F\C(=C/C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  48063029 281920279 151237944],Other PFASs,others,,10,,12
2636,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=O)C(F)(F)C(F)(F)C(F)(F)F,[101390333 541103106 107816900 ...  18403413 281920279 106865312],PFAA precursors,PACFs,,10,,12
2637,O=S(=O)(C(=[I]c1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)C(=[I]C1=CC=CC=C1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[203197353   7140386  17313015 ...  18734089 107222071  29302852],Other PFASs,Aromatic PFASs,,10,,12
2638,O=C(NNc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NNC1=CC=CC=C1,[ 97910120   8492060 107816900 ... 194511214 107767783 151237944],Other PFASs,Aromatic PFASs,,10,,12
2639,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2640,O=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1CCCC1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NC(=O)C1CCCC1,[194530714  96683755  17313015 ... 136323818  68592759  29302852],"PFAA precursors, cyclic","PASF-based substances, cyclic",,10,,12
2641,F/C(=C(\F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,F\C(=C(/F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[239995673  33999207 155709947 ...  65874932 239720791 201568010],PFAA precursors,PFAenes,,10,,12
2642,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,[111000236 104111782  97181807 ...  34400313 144535159 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2643,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...   8587256  40226743 151237944],Polyfluoroalkyl acids,PolyFCAs,0.09,2,,12
2644,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl,FC(F)(C(Cl)=O)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,[ 38710845 516854990 107816900 ... 307714696 281920279 151237944],Other PFASs,others,,10,,12
2645,CCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2646,C=CC=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=CC=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  60964968 ...  65874932 281920279 151237944],Other PFASs,others,,10,,12
2647,C=Cc1ccc(COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC1=CC=C(C=C)C=C1,[221156706 104111782  87855067 ... 291378977  15012903 151237944],Other PFASs,Aromatic PFASs,,10,,12
2648,CCCCC/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  65874932 135379655 151237944],PFAA precursors,PolyFAenes,,10,,12
2649,O=c1[nH]cc(C(F)(C(F)(F)F)C(F)(F)F)cc1Cl,FC(F)(F)C(F)(C1=CNC(=O)C(Cl)=C1)C(F)(F)F,[222969413  61520677 124807823 ...  25560912  46568087  95644286],Other PFASs,Aromatic PFASs,,10,,12
2650,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)C(C)CC,CCC(C)S(=O)C1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[52793636 34348060 17313015 ... 75128606 38941671 11852866],Other PFASs,Aromatic PFASs,,10,,12
2651,NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,NS(=O)(=O)C1=CC=C(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 39844693   8492060  17313015 ... 162815185 138646903   4054412],Other PFASs,Aromatic PFASs,,10,,12
2652,O=S(=O)(Nc1ccc(F)cc1F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC1=CC=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)=C1,[250618452  49322122  17313015 ... 100573331 107222071  29302852],Other PFASs,Aromatic PFASs,,10,,12
2653,C=C(CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O,OC(=O)C(=C)CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 14630029 104111782  28318165 ... 240810663  16565031 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2654,FC(F)(F)C(F)(F)C(F)(F)C([Hg]C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C([Hg]C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,[250618452 106507523 107816900 ... 195240353  49509447 151237944],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,10,,12
2655,CC(C)OC(=N)C(F)(F)C(F)(F)C(F)(F)F,CC(C)OC(=N)C(F)(F)C(F)(F)C(F)(F)F,[ 12794068  68287699 107816900 ...   7173984 281920279 151237944],Other PFASs,others,,10,,12
2656,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935  10360726],PFAA precursors,PolyFACs,0.19,4,,12
2657,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2658,Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)CC(C)C,CC(C)CS(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  49018156  17313015 ...  63751395 103589479 233420030],Other PFASs,Aromatic PFASs,,10,,12
2659,FC1CC(F)(F)C(F)(F)C1(F)F,FC1CC(F)(F)C(F)(F)C1(F)F,[  8260601  91415408 107816900 ... 345922146 267431607 151237944],"PFAA precursors, cyclic","HFCs, cyclic",0.01,1,,12
2660,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846 104111782  18439196 ...  15279529 207632695  22160906],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2661,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 176735456 107816900 ...  58849484  43796935 151237944],PFAA precursors,PolyFACs,,10,,12
2662,NC(CC(F)(F)C(F)(F)C(F)(F)F)C(=O)O,NC(CC(F)(F)C(F)(F)C(F)(F)F)C(O)=O,[108610129 192842905 107816900 ... 210960177 243147303    175516],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2663,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2664,CCN(CCC[Si](OC)(OC)OC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCC[Si](OC)(OC)OC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  22225335 151237944],Other PFASs,Si PFASs,,10,,12
2665,CCCSc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,CCCSC1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  49018156  63360499 ...  63751395 401747255 184684994],Other PFASs,Aromatic PFASs,,10,,12
2666,CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[ 19469312  73299756 107816900 ... 291378977 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
