Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2127,COC(O)C(F)(F)C(F)(F)C(F)(F)F,COC(O)C(F)(F)C(F)(F)C(F)(F)F,[166634603  17810509 107816900 ... 611624164 281920279  83234406],PFAA precursors,PolyFEACs,,10,,12
2128,C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801 107816900 ...  88808901  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2129,OC(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,OC(C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,[162621131 312252844 107816900 ... 215679073 281920279  29516144],Other PFASs,Aromatic PFASs,,10,,12
2130,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ... 291378977  99703927 151237944],PFAAs,PFCA-ester derivatives,,10,,8
2131,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCBr,[250618452 104111782  97181807 ...  16631887  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2132,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 429712812  87855067 ...  37687752 240371511 151237944],Polyfluoroalkyl acids,PolyFCAs,,10,,12
2133,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,[198202562 196028059  11501872 ... 145799486 101296679  81710418],PFAA precursors,PolyFEACs,,10,,12
2134,CC1C2CC(C1SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1C(=O)OC(=O)C21,CC1C2CC(C1SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1C2C(=O)OC1=O,[    69880  22192853  57174512 ... 171882282  43796935 108474474],"PFAA precursors, cyclic","n:2 fluorotelomer-based substances, cyclic",,10,,12
2135,O=[PH](O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[153755589  71278405  97181807 ... 171882282  43796935  12204236],Other PFASs,others,,10,,12
2136,O=C(Nc1ncccn1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)NC1=NC=CC=N1)C(F)(F)F,[   853465   9635651 107816900 ...  17799215  23638503  71007262],Other PFASs,Aromatic PFASs,,10,,12
