Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
3136,F[B-](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].F[B-](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  37037837 ... 348918405 137589671 151237944],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,18
3137,Cc1[nH]c(=O)[nH]c(=O)c1C(F)(F)C(F)(F)C(F)(F)F,CC1=C(C(=O)NC(=O)N1)C(F)(F)C(F)(F)C(F)(F)F,[  9818374  40626309  72807929 ... 176223008  22781943  22078738],Other PFASs,Aromatic PFASs,-7.716,7
3138,COC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,COC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 291378977  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,-7.921,7
3139,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,[250618452 107567300 107816900 ...  65874932  30740423  42351752],PFAA precursors,PFAenes,-7.563,7
3140,Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  44409534  97181807 ... 321796966   3179815 107724166],Other PFASs,Aromatic PFASs,-9.556,5
3141,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(Cl)C(F)(F)Cl,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(Cl)C(F)(F)Cl,[111000236 303014816  87855067 ...  34107840 101296679 151237944],Polyfluoroalkyl acids,PolyFECAs,-8.651,6
3142,C=CCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)COC(=O)CC=C,[ 19469312  61145456 107816900 ...  12980291 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,-6.597,8
3143,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[141841586  90136071  97181807 ... 171882282  43796935 151237944],Other PFASs,Si PFASs,,18
3144,Nc1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,NC1=CC=CC(=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 95088122  79512453  97181807 ... 215679073 111393351 107724166],Other PFASs,Aromatic PFASs,-9.912,5
3145,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCCS,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCCS,[137727442  40824953  97181807 ... 171882282  26744695 151237944],Other PFASs,others,-9.569,5
3146,COP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC,COP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC,[173683881  71278405  95504826 ... 171882282  43796935 151237944],Other PFASs,others,-9.41,5
